Number of beetles;Number of births;Number of flowers
34;34;76;
34;0;84;
34;0;91;
34;0;94;
34;0;94;
34;0;100;
34;0;98;
34;0;99;
34;0;105;
34;1;104;
35;1;105;
35;0;103;
33;0;102;
32;0;103;
32;0;103;
31;0;104;
32;1;104;
32;1;109;
33;1;109;
32;0;105;
31;0;108;
31;0;105;
29;0;103;
28;0;103;
26;0;102;
25;0;101;
25;0;106;
25;0;105;
25;0;105;
25;0;106;
26;1;104;
26;0;109;
27;1;99;
27;0;99;
27;0;105;
27;0;108;
27;0;105;
27;0;109;
26;0;107;
26;0;110;
26;0;107;
26;0;107;
26;0;111;
26;0;116;
25;0;116;
25;0;112;
24;0;110;
25;1;111;
25;0;110;
25;0;107;
25;0;109;
25;0;107;
24;0;109;
24;0;111;
24;0;112;
24;0;110;
22;2;109;
22;0;108;
23;1;112;
22;0;110;
22;0;113;
21;0;113;
21;0;117;
21;0;110;
22;1;114;
21;0;111;
21;0;112;
21;0;107;
21;0;106;
21;0;103;
21;0;108;
21;0;109;
21;0;111;
21;0;114;
22;1;113;
22;0;109;
22;0;112;
23;1;110;
23;0;112;
24;1;107;
24;0;106;
24;0;107;
25;1;107;
26;1;100;
25;0;98;
25;0;103;
25;0;107;
25;0;105;
25;0;108;
25;0;103;
24;0;106;
24;0;102;
24;0;111;
25;1;106;
25;1;106;
25;0;104;
25;0;108;
25;0;105;
23;0;108;
22;0;113;
21;0;111;
22;1;108;
23;1;109;
23;0;106;
21;0;107;
21;0;112;
21;0;112;
21;0;112;
21;0;110;
20;0;109;
21;1;118;
19;0;125;
17;0;127;
17;0;128;
16;0;128;
15;0;131;
16;1;127;
15;0;133;
15;0;130;
15;0;132;
16;1;131;
16;0;130;
15;0;128;
16;1;121;
17;1;127;
15;0;127;
15;0;125;
15;0;123;
15;0;124;
15;0;119;
16;1;117;
17;1;117;
17;0;115;
17;0;116;
17;0;115;
16;0;118;
16;0;121;
16;0;121;
17;1;120;
17;0;121;
17;0;121;
18;1;119;
18;0;119;
18;0;117;
18;1;118;
17;0;122;
17;0;122;
17;0;121;
17;0;121;
18;1;118;
18;0;120;
19;1;119;
19;0;118;
19;0;120;
19;0;119;
18;0;119;
18;0;121;
18;0;119;
16;0;123;
16;0;119;
16;0;118;
16;0;121;
15;0;124;
14;0;122;
14;0;126;
14;0;125;
14;0;125;
14;0;127;
14;0;125;
14;0;123;
14;0;125;
14;0;124;
14;0;123;
14;0;122;
13;0;123;
13;0;124;
13;0;125;
13;0;126;
14;1;122;
14;0;121;
13;0;122;
13;0;122;
13;0;120;
13;0;117;
13;0;118;
12;0;123;
13;1;121;
13;0;118;
12;0;121;
12;0;122;
12;0;124;
13;1;125;
13;0;123;
13;0;119;
13;0;117;
14;1;119;
14;0;122;
14;0;121;
14;0;122;
14;0;124;
